id,title,slug,tags
1850,Minimum Adjacent Swaps to Reach the Kth Smallest Number,minimum-adjacent-swaps-to-reach-the-kth-smallest-number,"['Two Pointers', 'String', 'Greedy']"
1851,Minimum Interval to Include Each Query,minimum-interval-to-include-each-query,"['Array', 'Binary Search', 'Line Sweep', 'Sorting', 'Heap (Priority Queue)']"
1852,Distinct Numbers in Each Subarray,distinct-numbers-in-each-subarray,"['Array', 'Hash Table', 'Sliding Window']"
1853,Convert Date Format,convert-date-format,['Database']
1854,Maximum Population Year,maximum-population-year,"['Array', 'Counting', 'Prefix Sum']"
1855,Maximum Distance Between a Pair of Values,maximum-distance-between-a-pair-of-values,"['Array', 'Two Pointers', 'Binary Search']"
1856,Maximum Subarray Min-Product,maximum-subarray-min-product,"['Array', 'Stack', 'Monotonic Stack', 'Prefix Sum']"
1857,Largest Color Value in a Directed Graph,largest-color-value-in-a-directed-graph,"['Hash Table', 'Dynamic Programming', 'Graph', 'Topological Sort', 'Memoization', 'Counting']"
1858,Longest Word With All Prefixes,longest-word-with-all-prefixes,"['Depth-First Search', 'Trie']"
1859,Sorting the Sentence,sorting-the-sentence,"['String', 'Sorting']"
1860,Incremental Memory Leak,incremental-memory-leak,"['Math', 'Simulation']"
1861,Rotating the Box,rotating-the-box,"['Array', 'Two Pointers', 'Matrix']"
1862,Sum of Floored Pairs,sum-of-floored-pairs,"['Array', 'Math', 'Binary Search', 'Prefix Sum']"
1863,Sum of All Subset XOR Totals,sum-of-all-subset-xor-totals,"['Array', 'Math', 'Backtracking', 'Bit Manipulation', 'Combinatorics', 'Enumeration']"
1864,Minimum Number of Swaps to Make the Binary String Alternating,minimum-number-of-swaps-to-make-the-binary-string-alternating,"['String', 'Greedy']"
1865,Finding Pairs With a Certain Sum,finding-pairs-with-a-certain-sum,"['Array', 'Hash Table', 'Design']"
1866,Number of Ways to Rearrange Sticks With K Sticks Visible,number-of-ways-to-rearrange-sticks-with-k-sticks-visible,"['Math', 'Dynamic Programming', 'Combinatorics']"
1867,Orders With Maximum Quantity Above Average,orders-with-maximum-quantity-above-average,['Database']
1868,Product of Two Run-Length Encoded Arrays,product-of-two-run-length-encoded-arrays,"['Array', 'Two Pointers']"
1869,Longer Contiguous Segments of Ones than Zeros,longer-contiguous-segments-of-ones-than-zeros,['String']
1870,Minimum Speed to Arrive on Time,minimum-speed-to-arrive-on-time,"['Array', 'Binary Search']"
1871,Jump Game VII,jump-game-vii,"['String', 'Dynamic Programming', 'Sliding Window', 'Prefix Sum']"
1872,Stone Game VIII,stone-game-viii,"['Array', 'Math', 'Dynamic Programming', 'Prefix Sum', 'Game Theory']"
1873,Calculate Special Bonus,calculate-special-bonus,['Database']
1874,Minimize Product Sum of Two Arrays,minimize-product-sum-of-two-arrays,"['Array', 'Greedy', 'Sorting']"
1875,Group Employees of the Same Salary,group-employees-of-the-same-salary,['Database']
1876,Substrings of Size Three with Distinct Characters,substrings-of-size-three-with-distinct-characters,"['Hash Table', 'String', 'Sliding Window', 'Counting']"
1877,Minimize Maximum Pair Sum in Array,minimize-maximum-pair-sum-in-array,"['Array', 'Two Pointers', 'Greedy', 'Sorting']"
1878,Get Biggest Three Rhombus Sums in a Grid,get-biggest-three-rhombus-sums-in-a-grid,"['Array', 'Math', 'Sorting', 'Heap (Priority Queue)', 'Matrix', 'Prefix Sum']"
1879,Minimum XOR Sum of Two Arrays,minimum-xor-sum-of-two-arrays,"['Array', 'Dynamic Programming', 'Bit Manipulation', 'Bitmask']"
1880,Check if Word Equals Summation of Two Words,check-if-word-equals-summation-of-two-words,['String']
1881,Maximum Value after Insertion,maximum-value-after-insertion,"['String', 'Greedy']"
1882,Process Tasks Using Servers,process-tasks-using-servers,"['Array', 'Heap (Priority Queue)']"
1883,Minimum Skips to Arrive at Meeting On Time,minimum-skips-to-arrive-at-meeting-on-time,"['Array', 'Dynamic Programming']"
1884,Egg Drop With 2 Eggs and N Floors,egg-drop-with-2-eggs-and-n-floors,"['Math', 'Dynamic Programming']"
1885,Count Pairs in Two Arrays,count-pairs-in-two-arrays,"['Array', 'Two Pointers', 'Binary Search', 'Sorting']"
1886,Determine Whether Matrix Can Be Obtained By Rotation,determine-whether-matrix-can-be-obtained-by-rotation,"['Array', 'Matrix']"
1887,Reduction Operations to Make the Array Elements Equal,reduction-operations-to-make-the-array-elements-equal,"['Array', 'Sorting']"
1888,Minimum Number of Flips to Make the Binary String Alternating,minimum-number-of-flips-to-make-the-binary-string-alternating,"['String', 'Dynamic Programming', 'Greedy', 'Sliding Window']"
1889,Minimum Space Wasted From Packaging,minimum-space-wasted-from-packaging,"['Array', 'Binary Search', 'Sorting', 'Prefix Sum']"
1890,The Latest Login in 2020,the-latest-login-in-2020,['Database']
1891,Cutting Ribbons,cutting-ribbons,"['Array', 'Binary Search']"
1892,Page Recommendations II,page-recommendations-ii,['Database']
1893,Check if All the Integers in a Range Are Covered,check-if-all-the-integers-in-a-range-are-covered,"['Array', 'Hash Table', 'Prefix Sum']"
1894,Find the Student that Will Replace the Chalk,find-the-student-that-will-replace-the-chalk,"['Array', 'Binary Search', 'Simulation', 'Prefix Sum']"
1895,Largest Magic Square,largest-magic-square,"['Array', 'Matrix', 'Prefix Sum']"
1896,Minimum Cost to Change the Final Value of Expression,minimum-cost-to-change-the-final-value-of-expression,"['Math', 'String', 'Dynamic Programming', 'Stack']"
1897,Redistribute Characters to Make All Strings Equal,redistribute-characters-to-make-all-strings-equal,"['Hash Table', 'String', 'Counting']"
1898,Maximum Number of Removable Characters,maximum-number-of-removable-characters,"['Array', 'Two Pointers', 'String', 'Binary Search']"
1899,Merge Triplets to Form Target Triplet,merge-triplets-to-form-target-triplet,"['Array', 'Greedy']"
1900,The Earliest and Latest Rounds Where Players Compete,the-earliest-and-latest-rounds-where-players-compete,"['Dynamic Programming', 'Memoization']"
1901,Find a Peak Element II,find-a-peak-element-ii,"['Array', 'Binary Search', 'Matrix']"
1902,Depth of BST Given Insertion Order,depth-of-bst-given-insertion-order,"['Array', 'Tree', 'Binary Search Tree', 'Binary Tree', 'Ordered Set']"
1903,Largest Odd Number in String,largest-odd-number-in-string,"['Math', 'String', 'Greedy']"
1904,The Number of Full Rounds You Have Played,the-number-of-full-rounds-you-have-played,"['Math', 'String']"
1905,Count Sub Islands,count-sub-islands,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']"
1906,Minimum Absolute Difference Queries,minimum-absolute-difference-queries,"['Array', 'Hash Table']"
1907,Count Salary Categories,count-salary-categories,['Database']
1908,Game of Nim,game-of-nim,"['Array', 'Math', 'Dynamic Programming', 'Bit Manipulation', 'Brainteaser', 'Game Theory']"
1909,Remove One Element to Make the Array Strictly Increasing,remove-one-element-to-make-the-array-strictly-increasing,['Array']
1910,Remove All Occurrences of a Substring,remove-all-occurrences-of-a-substring,"['String', 'Stack', 'Simulation']"
1911,Maximum Alternating Subsequence Sum,maximum-alternating-subsequence-sum,"['Array', 'Dynamic Programming']"
1912,Design Movie Rental System,design-movie-rental-system,"['Array', 'Hash Table', 'Design', 'Heap (Priority Queue)', 'Ordered Set']"
1913,Maximum Product Difference Between Two Pairs,maximum-product-difference-between-two-pairs,"['Array', 'Sorting']"
1914,Cyclically Rotating a Grid,cyclically-rotating-a-grid,"['Array', 'Matrix', 'Simulation']"
1915,Number of Wonderful Substrings,number-of-wonderful-substrings,"['Hash Table', 'String', 'Bit Manipulation', 'Prefix Sum']"
1916,Count Ways to Build Rooms in an Ant Colony,count-ways-to-build-rooms-in-an-ant-colony,"['Math', 'Dynamic Programming', 'Tree', 'Graph', 'Topological Sort', 'Combinatorics']"
1917,Leetcodify Friends Recommendations,leetcodify-friends-recommendations,['Database']
1918,Kth Smallest Subarray Sum,kth-smallest-subarray-sum,"['Array', 'Binary Search', 'Sliding Window']"
1919,Leetcodify Similar Friends,leetcodify-similar-friends,['Database']
1920,Build Array from Permutation,build-array-from-permutation,"['Array', 'Simulation']"
1921,Eliminate Maximum Number of Monsters,eliminate-maximum-number-of-monsters,"['Array', 'Greedy', 'Sorting']"
1922,Count Good Numbers,count-good-numbers,"['Math', 'Recursion']"
1923,Longest Common Subpath,longest-common-subpath,"['Array', 'Binary Search', 'Rolling Hash', 'Suffix Array', 'Hash Function']"
1924,Erect the Fence II,erect-the-fence-ii,"['Array', 'Math', 'Geometry']"
1925,Count Square Sum Triples,count-square-sum-triples,"['Math', 'Enumeration']"
1926,Nearest Exit from Entrance in Maze,nearest-exit-from-entrance-in-maze,"['Array', 'Breadth-First Search', 'Matrix']"
1927,Sum Game,sum-game,"['Math', 'String', 'Greedy', 'Game Theory']"
1928,Minimum Cost to Reach Destination in Time,minimum-cost-to-reach-destination-in-time,"['Array', 'Dynamic Programming', 'Graph']"
1929,Concatenation of Array,concatenation-of-array,"['Array', 'Simulation']"
1930,Unique Length-3 Palindromic Subsequences,unique-length-3-palindromic-subsequences,"['Hash Table', 'String', 'Bit Manipulation', 'Prefix Sum']"
1931,Painting a Grid With Three Different Colors,painting-a-grid-with-three-different-colors,['Dynamic Programming']
1932,Merge BSTs to Create Single BST,merge-bsts-to-create-single-bst,"['Hash Table', 'Binary Search', 'Tree', 'Depth-First Search', 'Binary Tree']"
1933,Check if String Is Decomposable Into Value-Equal Substrings,check-if-string-is-decomposable-into-value-equal-substrings,['String']
1934,Confirmation Rate,confirmation-rate,['Database']
1935,Maximum Number of Words You Can Type,maximum-number-of-words-you-can-type,"['Hash Table', 'String']"
1936,Add Minimum Number of Rungs,add-minimum-number-of-rungs,"['Array', 'Greedy']"
1937,Maximum Number of Points with Cost,maximum-number-of-points-with-cost,"['Array', 'Dynamic Programming', 'Matrix']"
1938,Maximum Genetic Difference Query,maximum-genetic-difference-query,"['Array', 'Hash Table', 'Bit Manipulation', 'Depth-First Search', 'Trie']"
1939,Users That Actively Request Confirmation Messages,users-that-actively-request-confirmation-messages,['Database']
1940,Longest Common Subsequence Between Sorted Arrays,longest-common-subsequence-between-sorted-arrays,"['Array', 'Hash Table', 'Counting']"
1941,Check if All Characters Have Equal Number of Occurrences,check-if-all-characters-have-equal-number-of-occurrences,"['Hash Table', 'String', 'Counting']"
1942,The Number of the Smallest Unoccupied Chair,the-number-of-the-smallest-unoccupied-chair,"['Array', 'Hash Table', 'Heap (Priority Queue)']"
1943,Describe the Painting,describe-the-painting,"['Array', 'Hash Table', 'Sorting', 'Prefix Sum']"
1944,Number of Visible People in a Queue,number-of-visible-people-in-a-queue,"['Array', 'Stack', 'Monotonic Stack']"
1945,Sum of Digits of String After Convert,sum-of-digits-of-string-after-convert,"['String', 'Simulation']"
1946,Largest Number After Mutating Substring,largest-number-after-mutating-substring,"['Array', 'String', 'Greedy']"
1947,Maximum Compatibility Score Sum,maximum-compatibility-score-sum,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']"
1948,Delete Duplicate Folders in System,delete-duplicate-folders-in-system,"['Array', 'Hash Table', 'String', 'Trie', 'Hash Function']"
1949,Strong Friendship,strong-friendship,['Database']
1950,Maximum of Minimum Values in All Subarrays,maximum-of-minimum-values-in-all-subarrays,"['Array', 'Stack', 'Monotonic Stack']"
1951,All the Pairs With the Maximum Number of Common Followers,all-the-pairs-with-the-maximum-number-of-common-followers,['Database']
1952,Three Divisors,three-divisors,"['Math', 'Enumeration', 'Number Theory']"
1953,Maximum Number of Weeks for Which You Can Work,maximum-number-of-weeks-for-which-you-can-work,"['Array', 'Greedy']"
1954,Minimum Garden Perimeter to Collect Enough Apples,minimum-garden-perimeter-to-collect-enough-apples,"['Math', 'Binary Search']"
1955,Count Number of Special Subsequences,count-number-of-special-subsequences,"['Array', 'Dynamic Programming']"
1956,Minimum Time For K Virus Variants to Spread,minimum-time-for-k-virus-variants-to-spread,"['Array', 'Math', 'Binary Search', 'Geometry', 'Enumeration']"
1957,Delete Characters to Make Fancy String,delete-characters-to-make-fancy-string,['String']
1958,Check if Move is Legal,check-if-move-is-legal,"['Array', 'Matrix', 'Enumeration']"
1959,Minimum Total Space Wasted With K Resizing Operations,minimum-total-space-wasted-with-k-resizing-operations,"['Array', 'Dynamic Programming']"
1960,Maximum Product of the Length of Two Palindromic Substrings,maximum-product-of-the-length-of-two-palindromic-substrings,"['String', 'Rolling Hash', 'Hash Function']"
1961,Check If String Is a Prefix of Array,check-if-string-is-a-prefix-of-array,"['Array', 'Two Pointers', 'String']"
1962,Remove Stones to Minimize the Total,remove-stones-to-minimize-the-total,"['Array', 'Greedy', 'Heap (Priority Queue)']"
1963,Minimum Number of Swaps to Make the String Balanced,minimum-number-of-swaps-to-make-the-string-balanced,"['Two Pointers', 'String', 'Stack', 'Greedy']"
1964,Find the Longest Valid Obstacle Course at Each Position,find-the-longest-valid-obstacle-course-at-each-position,"['Array', 'Binary Search', 'Binary Indexed Tree']"
1965,Employees With Missing Information,employees-with-missing-information,['Database']
1966,Binary Searchable Numbers in an Unsorted Array,binary-searchable-numbers-in-an-unsorted-array,"['Array', 'Binary Search']"
1967,Number of Strings That Appear as Substrings in Word,number-of-strings-that-appear-as-substrings-in-word,"['Array', 'String']"
1968,Array With Elements Not Equal to Average of Neighbors,array-with-elements-not-equal-to-average-of-neighbors,"['Array', 'Greedy', 'Sorting']"
1969,Minimum Non-Zero Product of the Array Elements,minimum-non-zero-product-of-the-array-elements,"['Math', 'Greedy', 'Recursion']"
1970,Last Day Where You Can Still Cross,last-day-where-you-can-still-cross,"['Array', 'Binary Search', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']"
1971,Find if Path Exists in Graph,find-if-path-exists-in-graph,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']"
1972,First and Last Call On the Same Day,first-and-last-call-on-the-same-day,['Database']
1973,Count Nodes Equal to Sum of Descendants,count-nodes-equal-to-sum-of-descendants,"['Tree', 'Depth-First Search', 'Binary Tree']"
1974,Minimum Time to Type Word Using Special Typewriter,minimum-time-to-type-word-using-special-typewriter,"['String', 'Greedy']"
1975,Maximum Matrix Sum,maximum-matrix-sum,"['Array', 'Greedy', 'Matrix']"
1976,Number of Ways to Arrive at Destination,number-of-ways-to-arrive-at-destination,"['Dynamic Programming', 'Graph', 'Topological Sort', 'Shortest Path']"
1977,Number of Ways to Separate Numbers,number-of-ways-to-separate-numbers,"['String', 'Dynamic Programming', 'Suffix Array']"
1978,Employees Whose Manager Left the Company,employees-whose-manager-left-the-company,['Database']
1979,Find Greatest Common Divisor of Array,find-greatest-common-divisor-of-array,"['Array', 'Math', 'Number Theory']"
1980,Find Unique Binary String,find-unique-binary-string,"['Array', 'Hash Table', 'String', 'Backtracking']"
1981,Minimize the Difference Between Target and Chosen Elements,minimize-the-difference-between-target-and-chosen-elements,"['Array', 'Dynamic Programming', 'Matrix']"
1982,Find Array Given Subset Sums,find-array-given-subset-sums,"['Array', 'Divide and Conquer']"
1983,Widest Pair of Indices With Equal Range Sum,widest-pair-of-indices-with-equal-range-sum,"['Array', 'Hash Table', 'Prefix Sum']"
1984,Minimum Difference Between Highest and Lowest of K Scores,minimum-difference-between-highest-and-lowest-of-k-scores,"['Array', 'Sliding Window', 'Sorting']"
1985,Find the Kth Largest Integer in the Array,find-the-kth-largest-integer-in-the-array,"['Array', 'String', 'Divide and Conquer', 'Sorting', 'Heap (Priority Queue)', 'Quickselect']"
1986,Minimum Number of Work Sessions to Finish the Tasks,minimum-number-of-work-sessions-to-finish-the-tasks,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']"
1987,Number of Unique Good Subsequences,number-of-unique-good-subsequences,"['String', 'Dynamic Programming']"
1988,Find Cutoff Score for Each School,find-cutoff-score-for-each-school,['Database']
1989,Maximum Number of People That Can Be Caught in Tag,maximum-number-of-people-that-can-be-caught-in-tag,"['Array', 'Greedy']"
1990,Count the Number of Experiments,count-the-number-of-experiments,['Database']
1991,Find the Middle Index in Array,find-the-middle-index-in-array,"['Array', 'Prefix Sum']"
1992,Find All Groups of Farmland,find-all-groups-of-farmland,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Matrix']"
1993,Operations on Tree,operations-on-tree,"['Array', 'Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Design']"
1994,The Number of Good Subsets,the-number-of-good-subsets,"['Array', 'Math', 'Dynamic Programming', 'Bit Manipulation', 'Bitmask']"
1995,Count Special Quadruplets,count-special-quadruplets,"['Array', 'Hash Table', 'Enumeration']"
1996,The Number of Weak Characters in the Game,the-number-of-weak-characters-in-the-game,"['Array', 'Stack', 'Greedy', 'Sorting', 'Monotonic Stack']"
1997,First Day Where You Have Been in All the Rooms,first-day-where-you-have-been-in-all-the-rooms,"['Array', 'Dynamic Programming']"
1998,GCD Sort of an Array,gcd-sort-of-an-array,"['Array', 'Math', 'Union Find', 'Sorting', 'Number Theory']"
1999,Smallest Greater Multiple Made of Two Digits,smallest-greater-multiple-made-of-two-digits,"['Math', 'Enumeration']"
2000,Reverse Prefix of Word,reverse-prefix-of-word,"['Two Pointers', 'String', 'Stack']"
2001,Number of Pairs of Interchangeable Rectangles,number-of-pairs-of-interchangeable-rectangles,"['Array', 'Hash Table', 'Math', 'Counting', 'Number Theory']"
2002,Maximum Product of the Length of Two Palindromic Subsequences,maximum-product-of-the-length-of-two-palindromic-subsequences,"['String', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']"
2003,Smallest Missing Genetic Value in Each Subtree,smallest-missing-genetic-value-in-each-subtree,"['Dynamic Programming', 'Tree', 'Depth-First Search', 'Union Find']"
2004,The Number of Seniors and Juniors to Join the Company,the-number-of-seniors-and-juniors-to-join-the-company,['Database']
2005,Subtree Removal Game with Fibonacci Tree,subtree-removal-game-with-fibonacci-tree,"['Math', 'Dynamic Programming', 'Tree', 'Binary Tree', 'Game Theory']"
2006,Count Number of Pairs With Absolute Difference K,count-number-of-pairs-with-absolute-difference-k,"['Array', 'Hash Table', 'Counting']"
2007,Find Original Array From Doubled Array,find-original-array-from-doubled-array,"['Array', 'Hash Table', 'Greedy', 'Sorting']"
2008,Maximum Earnings From Taxi,maximum-earnings-from-taxi,"['Array', 'Hash Table', 'Binary Search', 'Dynamic Programming', 'Sorting']"
2009,Minimum Number of Operations to Make Array Continuous,minimum-number-of-operations-to-make-array-continuous,"['Array', 'Hash Table', 'Binary Search', 'Sliding Window']"
2010,The Number of Seniors and Juniors to Join the Company II,the-number-of-seniors-and-juniors-to-join-the-company-ii,['Database']
2011,Final Value of Variable After Performing Operations,final-value-of-variable-after-performing-operations,"['Array', 'String', 'Simulation']"
2012,Sum of Beauty in the Array,sum-of-beauty-in-the-array,['Array']
2013,Detect Squares,detect-squares,"['Array', 'Hash Table', 'Design', 'Counting']"
2014,Longest Subsequence Repeated k Times,longest-subsequence-repeated-k-times,"['String', 'Backtracking', 'Greedy', 'Counting', 'Enumeration']"
2015,Average Height of Buildings in Each Segment,average-height-of-buildings-in-each-segment,"['Array', 'Greedy', 'Sorting', 'Heap (Priority Queue)']"
2016,Maximum Difference Between Increasing Elements,maximum-difference-between-increasing-elements,['Array']
2017,Grid Game,grid-game,"['Array', 'Matrix', 'Prefix Sum']"
2018,Check if Word Can Be Placed In Crossword,check-if-word-can-be-placed-in-crossword,"['Array', 'Matrix', 'Enumeration']"
2019,The Score of Students Solving Math Expression,the-score-of-students-solving-math-expression,"['Array', 'Math', 'String', 'Dynamic Programming', 'Stack', 'Memoization']"
2020,Number of Accounts That Did Not Stream,number-of-accounts-that-did-not-stream,['Database']
2021,Brightest Position on Street,brightest-position-on-street,"['Array', 'Sorting', 'Prefix Sum', 'Ordered Set']"
2022,Convert 1D Array Into 2D Array,convert-1d-array-into-2d-array,"['Array', 'Matrix', 'Simulation']"
2023,Number of Pairs of Strings With Concatenation Equal to Target,number-of-pairs-of-strings-with-concatenation-equal-to-target,"['Array', 'Hash Table', 'String', 'Counting']"
2024,Maximize the Confusion of an Exam,maximize-the-confusion-of-an-exam,"['String', 'Binary Search', 'Sliding Window', 'Prefix Sum']"
2025,Maximum Number of Ways to Partition an Array,maximum-number-of-ways-to-partition-an-array,"['Array', 'Hash Table', 'Counting', 'Enumeration', 'Prefix Sum']"
2026,Low-Quality Problems,low-quality-problems,['Database']
2027,Minimum Moves to Convert String,minimum-moves-to-convert-string,"['String', 'Greedy']"
2028,Find Missing Observations,find-missing-observations,"['Array', 'Math', 'Simulation']"
2029,Stone Game IX,stone-game-ix,"['Array', 'Math', 'Greedy', 'Counting', 'Game Theory']"
2030,Smallest K-Length Subsequence With Occurrences of a Letter,smallest-k-length-subsequence-with-occurrences-of-a-letter,"['String', 'Stack', 'Greedy', 'Monotonic Stack']"
2031,Count Subarrays With More Ones Than Zeros,count-subarrays-with-more-ones-than-zeros,"['Array', 'Binary Search', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree', 'Merge Sort', 'Ordered Set']"
2032,Two Out of Three,two-out-of-three,"['Array', 'Hash Table', 'Bit Manipulation']"
2033,Minimum Operations to Make a Uni-Value Grid,minimum-operations-to-make-a-uni-value-grid,"['Array', 'Math', 'Sorting', 'Matrix']"
2034,Stock Price Fluctuation ,stock-price-fluctuation,"['Hash Table', 'Design', 'Heap (Priority Queue)', 'Data Stream', 'Ordered Set']"
2035,Partition Array Into Two Arrays to Minimize Sum Difference,partition-array-into-two-arrays-to-minimize-sum-difference,"['Array', 'Two Pointers', 'Binary Search', 'Dynamic Programming', 'Bit Manipulation', 'Ordered Set', 'Bitmask']"
2036,Maximum Alternating Subarray Sum,maximum-alternating-subarray-sum,"['Array', 'Dynamic Programming']"
2037,Minimum Number of Moves to Seat Everyone,minimum-number-of-moves-to-seat-everyone,"['Array', 'Greedy', 'Sorting', 'Counting Sort']"
2038,Remove Colored Pieces if Both Neighbors are the Same Color,remove-colored-pieces-if-both-neighbors-are-the-same-color,"['Math', 'String', 'Greedy', 'Game Theory']"
2039,The Time When the Network Becomes Idle,the-time-when-the-network-becomes-idle,"['Array', 'Breadth-First Search', 'Graph']"
2040,Kth Smallest Product of Two Sorted Arrays,kth-smallest-product-of-two-sorted-arrays,"['Array', 'Binary Search']"
2041,Accepted Candidates From the Interviews,accepted-candidates-from-the-interviews,['Database']
2042,Check if Numbers Are Ascending in a Sentence,check-if-numbers-are-ascending-in-a-sentence,['String']
2043,Simple Bank System,simple-bank-system,"['Array', 'Hash Table', 'Design', 'Simulation']"
2044,Count Number of Maximum Bitwise-OR Subsets,count-number-of-maximum-bitwise-or-subsets,"['Array', 'Backtracking', 'Bit Manipulation', 'Enumeration']"
2045,Second Minimum Time to Reach Destination,second-minimum-time-to-reach-destination,"['Breadth-First Search', 'Graph', 'Shortest Path']"
2046,Sort Linked List Already Sorted Using Absolute Values,sort-linked-list-already-sorted-using-absolute-values,"['Linked List', 'Two Pointers', 'Sorting']"
2047,Number of Valid Words in a Sentence,number-of-valid-words-in-a-sentence,['String']
2048,Next Greater Numerically Balanced Number,next-greater-numerically-balanced-number,"['Hash Table', 'Math', 'Backtracking', 'Counting', 'Enumeration']"
2049,Count Nodes With the Highest Score,count-nodes-with-the-highest-score,"['Array', 'Tree', 'Depth-First Search', 'Binary Tree']"
2050,Parallel Courses III,parallel-courses-iii,"['Array', 'Dynamic Programming', 'Graph', 'Topological Sort']"
2051,The Category of Each Member in the Store,the-category-of-each-member-in-the-store,['Database']
2052,Minimum Cost to Separate Sentence Into Rows,minimum-cost-to-separate-sentence-into-rows,"['Array', 'Dynamic Programming']"
2053,Kth Distinct String in an Array,kth-distinct-string-in-an-array,"['Array', 'Hash Table', 'String', 'Counting']"
2054,Two Best Non-Overlapping Events,two-best-non-overlapping-events,"['Array', 'Binary Search', 'Dynamic Programming', 'Sorting', 'Heap (Priority Queue)']"
2055,Plates Between Candles,plates-between-candles,"['Array', 'String', 'Binary Search', 'Prefix Sum']"
2056,Number of Valid Move Combinations On Chessboard,number-of-valid-move-combinations-on-chessboard,"['Array', 'String', 'Backtracking', 'Simulation']"
2057,Smallest Index With Equal Value,smallest-index-with-equal-value,['Array']
2058,Find the Minimum and Maximum Number of Nodes Between Critical Points,find-the-minimum-and-maximum-number-of-nodes-between-critical-points,['Linked List']
2059,Minimum Operations to Convert Number,minimum-operations-to-convert-number,"['Array', 'Breadth-First Search']"
2060,Check if an Original String Exists Given Two Encoded Strings,check-if-an-original-string-exists-given-two-encoded-strings,"['String', 'Dynamic Programming']"
2061,Number of Spaces Cleaning Robot Cleaned,number-of-spaces-cleaning-robot-cleaned,"['Array', 'Matrix', 'Simulation']"
2062,Count Vowel Substrings of a String,count-vowel-substrings-of-a-string,"['Hash Table', 'String']"
2063,Vowels of All Substrings,vowels-of-all-substrings,"['Math', 'String', 'Dynamic Programming', 'Combinatorics']"
2064,Minimized Maximum of Products Distributed to Any Store,minimized-maximum-of-products-distributed-to-any-store,"['Array', 'Binary Search', 'Greedy']"
2065,Maximum Path Quality of a Graph,maximum-path-quality-of-a-graph,"['Array', 'Backtracking', 'Graph']"
2066,Account Balance,account-balance,['Database']
2067,Number of Equal Count Substrings,number-of-equal-count-substrings,"['Hash Table', 'String', 'Sliding Window', 'Counting']"
2068,Check Whether Two Strings are Almost Equivalent,check-whether-two-strings-are-almost-equivalent,"['Hash Table', 'String', 'Counting']"
2069,Walking Robot Simulation II,walking-robot-simulation-ii,"['Design', 'Simulation']"
2070,Most Beautiful Item for Each Query,most-beautiful-item-for-each-query,"['Array', 'Binary Search', 'Sorting']"
2071,Maximum Number of Tasks You Can Assign,maximum-number-of-tasks-you-can-assign,"['Array', 'Binary Search', 'Greedy', 'Queue', 'Sorting', 'Monotonic Queue']"
2072,The Winner University,the-winner-university,['Database']
2073,Time Needed to Buy Tickets,time-needed-to-buy-tickets,"['Array', 'Queue', 'Simulation']"
2074,Reverse Nodes in Even Length Groups,reverse-nodes-in-even-length-groups,['Linked List']
2075,Decode the Slanted Ciphertext,decode-the-slanted-ciphertext,"['String', 'Simulation']"
2076,Process Restricted Friend Requests,process-restricted-friend-requests,"['Union Find', 'Graph']"
2077,Paths in Maze That Lead to Same Room,paths-in-maze-that-lead-to-same-room,['Graph']
2078,Two Furthest Houses With Different Colors,two-furthest-houses-with-different-colors,"['Array', 'Greedy']"
2079,Watering Plants,watering-plants,"['Array', 'Simulation']"
2080,Range Frequency Queries,range-frequency-queries,"['Array', 'Hash Table', 'Binary Search', 'Design', 'Segment Tree']"
2081,Sum of k-Mirror Numbers,sum-of-k-mirror-numbers,"['Math', 'Enumeration']"
2082,The Number of Rich Customers,the-number-of-rich-customers,['Database']
2083,Substrings That Begin and End With the Same Letter,substrings-that-begin-and-end-with-the-same-letter,"['Hash Table', 'Math', 'String', 'Counting', 'Prefix Sum']"
2084,Drop Type 1 Orders for Customers With Type 0 Orders,drop-type-1-orders-for-customers-with-type-0-orders,['Database']
2085,Count Common Words With One Occurrence,count-common-words-with-one-occurrence,"['Array', 'Hash Table', 'String', 'Counting']"
2086,Minimum Number of Food Buckets to Feed the Hamsters,minimum-number-of-food-buckets-to-feed-the-hamsters,"['String', 'Dynamic Programming', 'Greedy']"
2087,Minimum Cost Homecoming of a Robot in a Grid,minimum-cost-homecoming-of-a-robot-in-a-grid,"['Array', 'Greedy']"
2088,Count Fertile Pyramids in a Land,count-fertile-pyramids-in-a-land,"['Array', 'Dynamic Programming', 'Matrix']"
2089,Find Target Indices After Sorting Array,find-target-indices-after-sorting-array,"['Array', 'Binary Search', 'Sorting']"
2090,K Radius Subarray Averages,k-radius-subarray-averages,"['Array', 'Sliding Window']"
2091,Removing Minimum and Maximum From Array,removing-minimum-and-maximum-from-array,"['Array', 'Greedy']"
